,lemme,phon,cgram,freqlemfilms2,freqlemlivres
736,meurtre,m9RtR,NOM,104.45,15.47
737,groupe,gRup,NOM,104.38,122.5
738,crime,kRim,NOM,104.07,45.07
739,traiter,tRete,VER,104.04,69.93
741,blesser,blese,VER,103.74,43.31
742,colonel,kolonEl,NOM,103.7,47.03
743,certain,sERt5,ADJ,103.57,182.64
745,secret,s°kRE,NOM,103.49,96.01
746,parole,paROl,NOM,103.48,178.31
747,triste,tRist,ADJ,103.44,105.61
748,honte,§t,NOM,103.4,83.45
749,rouge,RuZ,ADJ,102.93,273.24
750,dégager,degaZe,VER,102.47,58.04
751,seul,s9l,NOM,102.45,75.07
752,soirée,swaRe,NOM,102.37,76.69
753,bon,b§,NOM,102.33,70.95
754,dangereux,d@Z°R2,ADJ,101.84,47.57
755,armée,aRme,NOM,101.07,146.55
756,filer,file,VER,100.97,88.51
757,être,EtR,NOM,100.69,122.57
758,risquer,Riske,VER,100.4,99.32
759,dos,do,NOM,100.34,213.99
760,appel,apEl,NOM,100.18,73.45
761,visite,vizit,NOM,99.95,99.32
762,mener,m°ne,VER,99.86,137.7
763,fleur,fl9R,NOM,99.75,164.39
764,attaquer,atake,VER,99.63,70.41
765,coin,kw5,NOM,99.51,199.26
766,prince,pR5s,NOM,98.9,101.22
767,pire,piR,ADJ,98.83,57.7
768,bordel,bORdEl,NOM,98.77,21.89
769,professeur,pRofEs9R,NOM,98.55,63.92
770,fumer,fyme,VER,98.49,84.39
771,répéter,Repete,VER,98.31,200.14
772,habitude,abityd,NOM,98.22,154.46
773,signer,siNe,VER,98.19,55.81
774,ficher,fiSe,VER,97.84,29.32
775,mériter,meRite,VER,97.06,54.53
776,réponse,Rep§s,NOM,97.06,99.93
777,rejoindre,R°Zw5dR,VER,96.98,134.8
778,discuter,diskyte,VER,96.42,58.65
779,village,vilaZ,NOM,95.82,143.99
781,avancer,av@se,VER,95.62,195.0
782,connerie,kOn°Ri,NOM,95.42,29.73
783,fort,fOR,ADJ,95.28,140.27
784,reposer,R°poze,VER,95.2,83.92
785,échapper,eSape,VER,95.07,132.64
786,forme,fORm,NOM,94.19,176.69
787,fou,fu,NOM,94.17,55.81
788,bruit,bR8i,NOM,94.13,281.49
790,diable,djabl,NOM,93.34,54.8
791,exemple,Egz@pl,NOM,93.2,126.62
792,charger,SaRZe,VER,93.02,122.16
793,chat,Sa,NOM,93.0,130.74
794,ennemi,En°mi,NOM,92.37,111.96
795,grand,gR@,NOM,92.25,127.64
796,gamin,gam5,NOM,92.22,38.78
797,rendez-vous,R@devu,NOM,91.95,53.72
799,obliger,obliZe,VER,91.63,107.57
800,meilleur,mEj9R,NOM,91.02,38.58
801,trou,tRu,NOM,90.72,108.38
802,idiot,idjo,NOM,90.57,22.03
803,accompagner,ak§paNe,VER,90.56,124.46
804,fenêtre,f°nEtR,NOM,90.55,280.2
805,oser,oze,VER,90.2,155.54
806,impression,5pResj§,NOM,90.19,155.27
807,intérieur,5teRj9R,NOM,90.11,135.88
808,bouche,buS,NOM,90.03,283.45
809,ligne,liN,NOM,89.83,162.3
811,mort,mOR,ADJ,89.29,113.18
812,doux,du,ADJ,89.14,145.07
813,regretter,R°gRete,VER,89.11,75.88
815,mur,myR,NOM,88.93,317.77
816,enfer,@fER,NOM,88.86,41.35
817,prouver,pRuve,VER,88.83,52.43
818,boîte,bwat,NOM,88.81,134.05
819,santé,s@te,NOM,88.69,52.7
821,dîner,dine,NOM,88.45,68.58
822,couvrir,kuvRiR,VER,88.29,133.51
823,magnifique,maNifik,ADJ,88.22,27.7
824,obtenir,Opt°niR,VER,88.08,80.95
825,cuisine,k8izin,NOM,87.92,135.41
826,vue,vy,NOM,87.84,144.39
827,terrible,tERibl,ADJ,87.66,88.11
828,peau,po,NOM,87.47,187.77
829,éviter,evite,VER,87.47,110.47
830,salaud,salo,NOM,87.4,37.84
831,conseil,k§sEj,NOM,87.14,84.46
832,plaisanter,plEz@te,VER,87.13,27.43
