,id_participant,cues,responses,likeability,originality,adequacy,frequencyCreaFlexFirst,frequencyCreaFlexDist,RT_answer,condition,unique_creaflexFirst,unique_creaflexDist,frequency_dictaverf,similarity
192,23,preuve,procès,89.0,33.0,97.0,0.03125,0.0104166666666666,1.1681213000010755,2,0,0,0.011905,0.25152025
193,23,lune,rêve,93.0,57.0,99.0,0.0,0.0,1.2371471999977075,2,1,1,0.001942,0.24772193
194,23,mer,horizon,48.0,89.0,84.0,0.0,0.0104166666666666,0.8926390999986324,2,1,0,0.004073,0.18208979
195,23,objet,main,,,,0.0104166666666666,0.0,1.2122990999996546,2,0,1,0.0,0.20047027
196,23,enfant,marelle,100.0,71.0,100.0,0.0,0.0,0.7118792000001122,2,1,1,0.0,0.26146436
197,23,toit,grimper,83.0,56.0,77.0,0.0,0.0,0.398560699999507,2,1,1,0.0,0.2970929
198,23,doigt,alliance,100.0,51.0,89.0,0.0208333333333333,0.0416666666666666,0.2483906000015849,2,0,0,0.003774,0.10023209
199,23,mur,enfermement,,,,0.0,0.0,0.7437447000011161,2,1,1,0.0,0.14016105
200,23,table,assis,54.0,52.0,86.0,0.0,0.0,0.2901944000004732,2,1,1,0.0,0.07542115
201,23,désir,feu,,,,0.0,0.0,0.6464887999973143,2,1,1,0.002053,0.13205484
202,23,école,marelle,100.0,45.0,100.0,0.0,0.0,0.4272225999993679,2,1,1,0.0,0.18950239
203,23,passage,étroit,100.0,48.0,100.0,0.0208333333333333,0.0208333333333333,0.4895365000011225,2,0,0,0.03619,0.3137012
204,23,façon,forme,,,,0.0,0.0104166666666666,0.1565206000013859,2,1,0,0.0,0.50508994
205,23,vache,viande,45.0,27.0,88.0,0.0,0.0,0.4606554999991203,2,1,1,0.003846,0.4611339
206,23,acte,théâtre,,,,0.28125,0.1354166666666666,0.3663092999995569,2,0,0,0.19275,0.12121316
207,23,lèvre,baiser,,,,0.0208333333333333,0.0208333333333333,0.703567299999122,2,0,0,0.093156,0.5574648
208,23,direction,indication,,,,0.0104166666666666,0.0208333333333333,0.2868039999993925,2,0,0,0.004008,0.13449849
209,23,habitude,commun,52.0,79.0,67.0,0.0,0.0,0.3049049000001105,2,1,1,0.001848,0.13093996
210,23,jeunesse,jeux,100.0,10.0,83.0,0.0,0.0,0.6466708999978437,2,1,1,0.0,0.10315673
211,23,herbe,courir,,,,0.0,0.0,0.2137328000026173,2,1,1,0.0,0.21801616
212,23,jardin,jeu,100.0,22.0,100.0,0.0,0.0208333333333333,0.0670704000003752,2,1,0,0.00404,0.10644262
213,23,rôle,position,56.0,91.0,31.0,0.0,0.0,0.2548821000018506,2,1,1,-1.0,0.20904897
214,23,colline,courir,78.0,77.0,91.0,0.0,0.0,0.0791926000019884,2,1,1,0.0,0.124983884
215,23,fil,couture,,,,0.0833333333333333,0.0104166666666666,0.426386300001468,2,0,0,0.092937,0.18593001
216,23,rayon,,,,,0.0,0.0,0.712844399997266,2,1,1,0.0,nan
217,23,page,histoire,,,,0.0,0.03125,1.033769100002246,2,1,0,0.002066,0.17228878
218,23,larme,tristesse,100.0,1.0,100.0,0.2291666666666666,0.0208333333333333,0.4427323999989312,2,0,0,0.13962,0.61100066
219,23,pierre,silex,,,,0.0,0.0208333333333333,0.145450100000744,2,1,0,0.001905,0.26655692
220,23,rose,délicat,100.0,79.0,100.0,0.0,0.0,0.162899599999946,2,1,1,0.0,0.27284265
