cues,p_23,p_24,p_25,p_26,p_27,p_28,p_29,p_30,p_31,p_32,p_33,p_34,p_35,p_36,p_37,p_38,p_39,p_40,p_41,p_42,p_43,p_44,p_45,p_46,p_47,p_48,p_49,p_50,p_52,p_53,p_54,p_55,p_56,p_57,p_58,p_59,p_60,p_61,p_62,p_63,p_64,p_65,p_66,p_67,p_68,p_69,p_70,p_71,p_73,p_74,p_76,p_77,p_78,p_79,p_80,p_81,p_82,p_83,p_84,p_85,p_86,p_87,p_88,p_89,p_90,p_91,p_92
larme,tristesse,joue,couler,pleurs,oeil,sel,pleurs,oeil,larme,eau,crocodile,tristesse,mouchoir,pleurs,oeil,yeux,pleurs,joue,pleurs,pleur,pleurs,pleurs,pleur,eau,pleurer,tristesse,salée,goutte,pleurer,triste,pleurer,pleurer,triste,tristesse,tristesse,joie,larme,oeil,réaction,pleurer,pleurs,triste,pleurer,eau,oeil,triste,pleurer,pleurs,émotion,tristesse,pleurs,oeil,pleurs,émotion,pluie,pleurer,pleurs,tristesse,pleurer,oeil,deuil,pleurer,triste,oeil,pleurs,couler,pleurer
larme,phoenix,nan,émotion,joie,goutte,risque,joie,crime,tristesse,crocodile,sel,émotion,mouchoir,mélancolie,joie,sourire,lac,lacrymogène,potion,tristesse,bonheur,lac,chagrin,sel,eau,déception,sel,joie,guerre,guérison,sang,tristesse,joie,sang,rire,tsunami,pleurs,rire,choc,tristesse,crocodile,oenologie,salé,oignon,sel,pluie,émotion,joie,cancer,salé,tristesse,sel,tragédie,sel,canal,désespoir,peu,goutte,sel,eau,crocodile,tristesse,salé,tristesse,sel,salé,émotion
vache,tâche,champs,tâche,pré,pis,salon,lait,lait,vache,animal,lait,ferme,veau,veau,lait,veau,normande,lait,chèvre,veau,agriculture,animal,lait,lait,agriculture,lait,animal,milka,lait,lait,campagne,animal,lait,lait,animal,prairie,vache,lait,ruralité,ferme,lait,lait,mouton,lait,lait,corne,prairie,animal,veau,lait,campagne,lait,lait,animal,animal,lait,animal,ferme,cloche,lait,lait,viande,animal,lait,lait,lait,lait
vache,peau,police,nan,ruminant,ferme,soja,jouet,lait,laitière,yeux,salaud,chocolat,lait,campagne,méchant,mouton,insulte,brouter,élevage,tâche,lait,sacrée,exploitation,chocolat,veau,insulte,lait,village,fromage,hublot,lapin,fromage,tapis,méchanceté,bruit,massive,animal,pie,nan,lait,ferme,ferme,herbe,train,tâche,nan,cloche,boeuf,chocolat,grosse,tache,cuir,grosse,chocolat,diduction,domestication,lait,pie,fumier,lait,fromage,culture,estomac,viande,méchant,rumen,fromage
début,fin,fin,fin,fin,fin,commencement,fin,fin,début,fin,fin,fin,fin,fin,fin,fin,fin,fin,fin,fin,naissance,fin,fin,fin,commencement,fin,fin,rencontre,commencement,fin,fin,commencer,fin,fin,fin,prémices,début,fin,démarrage,fin,commencement,fin,fin,fin,fin,fin,fin,fin,fin,fin,fin,fin,commencement,histoire,fin,fin,fin,fin,fin,fin,fin,fin,fin,fin,fin,fin,fin
début,conte,vision,or,milieu,matin,nan,histoire,nan,fin,naissance,retour,naissance,commencement,prologue,inconnu,éden,suite, ,big-bang,relation,naissance,genèse,film,tout,introduction,naissance,commencement,un,fin,bas,nan,histoire,monde,fin,nan,heureux,fin,cycle,temps,commencement,création,nan,commencer,ligne,renouveau,naissance,naïveté,milieu,générique,éclosion,commencement,histoire,pas,couverture,incipit,création,commencement,naissance,naissance,fin,histoire,initiative,nan,genèse,création,commencement,histoire
pierre,grand-père,feuille,feuille,feu,caillou,ciseaux,rocher,caillou,pierre,prénom,ami,feuille,feuille,caillou,feuille,mousse,rocher,mousse,caillou,roc,précieux,feuille,tombe,gris,prénom,ciseaux,galet,caillou,gris,golem,caillou,précieux,caillou,caillou,ricochet,granit,pierre,rouler,nature,caillou,caillou,caillou,dur,feuille,roche,caillou,granit,roche,mousse,dur,feuille,caillou,maison,ciseaux,ciseaux,feuille,rocher,feuille,feu,rose,mousse,feuille,mur,argile,montagne,anguleux,dur
pierre,résurrection,feuille,rocher,quartz,mousse,angle,bijou,jean,feuille,molle,mythe,nature,rigide,église,tombeau,ciseaux,feu,matériau,érosion,montagne,prénom,roule,vestige,église,prénom,ancêtre,mousse,feuille,feuille,récréation,préhistoire,rare,plante,lance,roche,grotte,objet,oiseau,arme,nan,coups,feuille,prénom,mousse,coup,chanteur,terre,parement,rebond,suret,caillou,bijou,caillou,bague,sol,nan,construction,nan,sculpteur,rose,ciseaux,bâtiment,prénom,lourd,minéral,mousse,joyau
visage,cou,froid,personne,bouche,nez,yeux,sourire,yeux,visage,sourire,beauté,identité,tête,yeux,yeux,yeux,traits,dent,nez,face,sourire,oeil,femme,oeil,tête,bouche,nan,tête,tête,sourire,oeil,oeil,face,tête,oeil,doux,visage,nan,identité,face,nan,face,oeil,oeil,oeil,sourire,être,sourire,ovale,tête,masque,face,identité,nez,expression,face,tête,oeil,tête,face,peau,identité,face,oeil,tête,larme,tête
visage,picasso,sans,identité,haut,humain,onde,reflet,nan,yeux,ingrat,chirurgie,expression,masque,humain,identification,tête,caractère,portrait,masque,masque,sourire,âme,nan,beauté,émotion,reconnaissance,beauté,face,masque,reste,miroir,expression,lifting,miroir,émotion,joli,beauté,postillon,autre,beauté,communication,masque,expression,masque,identité,reconnaissance,tableau,reflet,jugement,beauté,identité,honte,trait,harmonie,prognathe,singularité,masque,portrait,vérité,glace,ange,identité,mannequin,vision,symétrie,face,caché
arbre,fruit,vie,forêt,buisson,feuille,fruit,feuille,feuille,arbre,peuplier,dehors,feuille,tronc,feuille,fruit,forêt,feuille,fruit,vert,forêt,plante,feuille,feuille,feuille,forêt,tronc,écorce,tronc,vert,feuille,chêne,forêt,chêne,forêt,nature,tronc,arbre,feuille,expérience,feuille,buisson,nature,verdure,feuille,vie,feuille,foret,végétation,branche,feuille,feuille,feuille,forêt,feuille,plante,vert,forêt,feuille,buisson,bois,feuille,feuille,feuille,végétal,planter,feuille,feuille
arbre,cogneur,généalogique,sève,verdure,généalogique,papier,cabane,nan,fruitier,oxygène,racine,symbole,verdure,vie,sève,incendie,nid,air,respiration,vie,oxygène,vie,écureuil,campagne,photosynthèse,racine,branche,feuille,éléphant,incendie,feuille,oxygène,marqueterie,ciel,oxygène,environnement,lieu,trans,ancienneté,feuille,généalogie,phloème,papier,oxygène,fondation,nan,charpente,marron,serpent,généalogique,nature,érable,ombre,automne,stomate,vie,tronc,tronçonneuse,stabilité,forêt,roseau,ozone,nan,végétation,papier,racine,robuste
position,confort,létale,emplacement,assis,lieu,assis,assis,point,position,assis,assis,nan,lieu,endroit,coucher,droite,corps,mal,lieu,place,espace,cible,debout,nan,endroit,latérale,hiérarchie,emplacement,assise,allongé,GPS,assise,droit,géographique,debout,latéral,position,debout,lieu,dos,lieu,place,assis,latérale,place,emplacement,lieu,droit,sociale,arrangement,assis,course,rôle,direction,posture,sexuelle,sexe,opinion,ici,pole,boussole,sexe,debout,direction,placement,vertical,assis
position,boussole,classement,localisation,verticale,gps,singulier,nan,nan,bien,nan,levrette,figé,partage,hiérarchie,hiérarchie,assis,opinion,décision,carte,emplacement,univers,avis,carte,sexe,parti,hiérarchie,pouvoir,classement,haute,risque,yoga,nan,nan,avis,lit,latérale,lieu,nan,habité,posture,affirmation,local,sexuelle,pole,appartenance,carte,point,hiérarchie,lombalgie,sociale,apparence,nan,corps,envers,tripode,conviction,sexe,nan,sexe,droite,cheval,rotation,localisation,vis,pôle,allongé,allongée
avis,important,demande,opinion,mère,donner,contre,opinion,point,avis,opinion,opposition,opinion,voiture,opinion,décision,positif,opinion,réponse,opinion,opinion,opinion,conseil,réaction,idée,opinion,opinion,opinion,réponse,positif,opinion,opinion,opinion,opinion,opinion,opinion,opinion,avis,opinion,opinion,opinion,question,questionnaire,positif,étoile,opinion,nan,opinion,conseil,pensée,subjectif,opinion,idée,humilité,critique,question,décision,importance,opinion,impôt,publicité,opinion,voiture,voiture,entreprise,opinion,mémoire,opinion
avis,nan,mensonge,conviction,culture,opinion,oiseau,tranché,nan,réponse,bavard,prétention,automobile,idée,discutable,réponse,passage,intérêt,position,tranché,débat,caractère,idée,location,opinion,propre,voter,critique,note,internet,droite,contre,expression,voiture,nan,formulaire,proposition,réponse,croyance,doute,opinion,pluralisme,voiture,nan,commentaire,jugement,recherche,avisé,note,taire,con,entente,voiture,regard,chiant,politique,pensée,voiture,impôt,expertise,commentaire,subjectif,réflexion,voiture,demande,étude,commentaire,tripadvisor
